"Date","InboxTotal","SentTotal","CompletedTotal","AvgResponseInMinutes","AvgResponseInHours","Within SLA","Average Unread"
"5/18/2025","19","4","7",,,,
"5/19/2025","295","194","94",,,,
"5/21/2025","332","218","100",,,,
"5/22/2025","310","167","145",,,,
"5/23/2025","687","210","545","158","2.63","22%","59"
"5/24/2025","298","202","104","125","2.08","29%","52"
"5/28/2025","371","215","87",,,,
"5/29/2025","297","190","129",,,,
"5/30/2025","279","163","119",,,,
"5/31/2025","266","187","97",,,,
"6/1/2025","23","15","7",,,,
"6/2/2025","17","9","16",,,,
"6/3/2025","245","160","111",,,,
"6/4/2025","271","211","130",,,,
"6/5/2025","294","224","101",,,,
"6/6/2025","257","177","91",,,,
"6/7/2025","283","211","133",,,,
"6/8/2025","34","26","12",,,,
"6/9/2025","13","3","3",,,,
"6/10/2025","253","149","80",,,,
"6/11/2025","285","211","87",,,,
"6/12/2025","269","169","78",,,,
"6/13/2025","255","187","86",,,,
"6/14/2025","288","189","97",,,,
"6/15/2025","30","23","14",,,,
"6/16/2025","22","5","10",,,,
"6/17/2025","309","213","93",,,,
"6/18/2025","280","180","80",,,,
"6/19/2025","327","223","106",,,,
"6/20/2025","156","105","72",,,,
"6/21/2025","275","181","112",,,,
"6/22/2025","10","4","3",,,,
"6/23/2025","29","14","16",,,,
"6/24/2025","297","202","86",,,,
"6/25/2025","302","216","95",,,,
"6/26/2025","295","167","95",,,,
"6/27/2025","267","188","89",,,,
"6/28/2025","263","146","88",,,,
"6/29/2025","8","33","4",,,,
"6/30/2025","13","6","3",,,,
"7/1/2025","263","164","90",,,,
"7/2/2025","262","187","68",,,,
"7/3/2025","304","178","88",,,,
"7/4/2025","299","202","77",,,,
"7/5/2025","7","36","6",,,,
"7/5/2025","12","0","8",,,,
"7/5/2025","19","17","6",,,,
"7/7/2025","293","171","57",,,,
"7/8/2025","292","200","55",,,,
"7/9/2025","223","148","51",,,,
"7/10/2025","269","164","90",,,,
"7/11/2025","303","199","78",,,,
"7/12/2025","13","23","5",,,,
"7/13/2025","34","21","16",,,,
"7/14/2025","295","211","69",,,,
"7/15/2025","292","171","68",,,,
"7/16/2025","317","234","66",,,,
"7/17/2025","210","131","76",,,,
"7/18/2025","249","152","83",,,,
"7/19/2025","11","16","7",,,,
"7/20/2025","17","10","13",,,,
"7/21/2025","310","206","96",,,,
"7/22/2025","300","197","91",,,,
"7/23/2025","255","153","70",,,,
"7/24/2025","301","200","86",,,,
"7/25/2025","263","166","78",,,,
"7/26/2025","18","0","0",,,,
"7/27/2025","17","9","14",,,,
"7/28/2025","273","163","111",,,,
"7/29/2025","300","201","93",,,,
"7/30/2025","208","133","71",,,,
"7/31/2025","227","161","91",,,,
"8/1/2025","207","167","93",,,,
"8/2/2025","17","6","14",,,,
"8/3/2025","23","8","5",,,,
"8/4/2025","272","206","114",,,,
"8/5/2025","248","201","104",,,,
"8/6/2025","269","178","100",,,,
"8/7/2025","169","125","69",,,,
"8/8/2025","255","191","66",,,,
"8/9/2025","16","9","13",,,,
"8/10/2025","26","0","0",,,,
"8/11/2025","271","172","64",,,,
"8/12/2025","322","225","67",,,,
"8/13/2025","262","187","75",,,,
"8/14/2025","247","162","87",,,,
"8/15/2025","209","135","62",,,,
"8/16/2025","10","0","0",,,,
"8/17/2025","28","16","18",,,,
